Index,Step,Point,Load_Mult,Reg Changed,Tap Changed,Reward,Regulator States,Time,creg1a,creg2a,creg3a,creg3c,creg4a,creg4b,creg4c,
2430,991,1,0.3599999999999999,creg2a,16,-2370.030258361965,,972.4,-14,16,2,-10,-4,-5,8,
2431,992,1,0.3599999999999999,creg2a,16,-2370.030258361965,,972.8,-14,16,2,-10,-4,-5,8,
2432,993,1,0.3599999999999999,creg2a,16,-2370.030258361965,,973.2,-14,16,2,-10,-4,-5,8,
2433,994,1,0.3599999999999999,creg2a,16,-2370.030258361965,,973.6,-14,16,2,-10,-4,-5,8,
2434,995,1,0.3599999999999999,creg2a,12,-2372.0149967108478,,974.0,-14,12,2,-10,-4,-5,8,
2435,996,1,0.3599999999999999,creg3c,-13,-2371.5053046732114,,974.4,-14,12,2,-13,-4,-5,8,
2436,997,1,0.3599999999999999,creg3c,-7,-2373.024946059925,,974.8,-14,12,2,-7,-4,-5,8,
2437,998,1,0.3599999999999999,creg2a,16,-2372.0402032809075,,975.2,-14,16,2,-7,-4,-5,8,
2438,999,1,0.3599999999999999,creg1a,10,-1885.452736311297,,975.6,10,16,2,-7,-4,-5,8,
2439,1000,1,0.3599999999999999,creg2a,16,-1873.452736311297,,976.0,10,16,2,-7,-4,-5,8,
2440,1001,1,0.3599999999999999,creg4c,8,-1873.452736311297,,976.4,10,16,2,-7,-4,-5,8,
2441,1002,1,0.3599999999999999,creg3a,-5,-1836.9287009955708,,976.8,10,16,-5,-7,-4,-5,8,
2442,1003,1,0.3599999999999999,creg4c,14,-1847.158114514554,,977.2,10,16,-5,-7,-4,-5,14,
2443,1004,1,0.3599999999999999,creg2a,16,-1844.158114514554,,977.6,10,16,-5,-7,-4,-5,14,
2444,1005,1,0.3599999999999999,creg4a,5,-2269.595623682727,,978.0,10,16,-5,-7,5,-5,14,
2445,1006,1,0.3599999999999999,creg4c,-5,-1882.732576783165,,978.4,10,16,-5,-7,5,-5,-5,
2446,1007,1,0.3599999999999999,creg3c,10,-1941.7663329001543,,978.8,10,16,-5,10,5,-5,-5,
2447,1008,1,0.3599999999999999,creg4a,-2,-1535.9020845614527,,979.2,10,16,-5,10,-2,-5,-5,
2448,1009,1,0.3599999999999999,creg2a,16,-1532.4020845614527,,979.6,10,16,-5,10,-2,-5,-5,
2449,1010,1,0.3599999999999999,creg3c,3,-1535.8798557851903,,980.0,10,16,-5,3,-2,-5,-5,
2450,1011,1,0.3599999999999999,creg2a,-16,-1548.2256456927169,,980.4,10,-16,-5,3,-2,-5,-5,
2451,1012,1,0.3599999999999999,creg4c,0,-1532.2256456927169,,980.8,10,-16,-5,3,-2,-5,-5,
2452,1013,1,0.3599999999999999,creg2a,16,-1548.3798557851903,,981.2,10,16,-5,3,-2,-5,-5,
2453,1014,1,0.3599999999999999,creg4a,-1,-1682.4518454983195,,981.6,10,16,-5,3,-1,-5,-5,
2454,1015,1,0.3599999999999999,creg1a,5,-64.61283812297181,,982.0,5,16,-5,3,-1,-5,-5,
2455,1016,1,0.3599999999999999,creg2a,16,-62.11283812297181,,982.4,5,16,-5,3,-1,-5,-5,
2456,1017,1,0.3599999999999999,creg4a,12,-460.0667425893205,,982.8,5,16,-5,3,12,-5,-5,
2457,1018,1,0.3599999999999999,creg2a,16,-453.5667425893205,,983.2,5,16,-5,3,12,-5,-5,
2458,1019,1,0.3599999999999999,creg2a,16,-453.5667425893205,,983.6,5,16,-5,3,12,-5,-5,
2459,1020,1,0.3599999999999999,creg3c,15,-509.60316700809676,,984.0,5,16,-5,15,12,-5,-5,
2460,1021,1,0.3599999999999999,creg3c,12,-505.0926065330198,,984.4,5,16,-5,12,12,-5,-5,
2461,1022,1,0.3599999999999999,creg3a,14,-553.1724568474712,,984.8,5,16,14,12,12,-5,-5,
2462,1023,1,0.3599999999999999,creg3c,-5,-502.1475744877507,,985.2,5,16,14,-5,12,-5,-5,
2463,1024,1,0.3599999999999999,creg1a,-2,-706.3384139021277,,985.6,-2,16,14,-5,12,-5,-5,
2464,1025,1,0.3599999999999999,creg1a,-2,-702.8384139021277,,986.0,-2,16,14,-5,12,-5,-5,
2465,1026,1,0.3599999999999999,creg1a,-2,-702.8384139021277,,986.4,-2,16,14,-5,12,-5,-5,
2466,1027,1,0.3599999999999999,creg1a,-2,-702.8384139021277,,986.8,-2,16,14,-5,12,-5,-5,
2467,1028,1,0.3599999999999999,creg1a,-2,-702.8384139021277,,987.2,-2,16,14,-5,12,-5,-5,
2468,1029,1,0.3599999999999999,creg1a,-2,-702.8384139021277,,987.6,-2,16,14,-5,12,-5,-5,
2469,1030,1,0.3599999999999999,creg4c,-13,-886.2613819831183,,988.0,-2,16,14,-5,12,-5,-13,
2470,1031,1,0.3599999999999999,creg4b,1,-855.6716901100043,,988.4,-2,16,14,-5,12,1,-13,
2471,1032,1,0.3599999999999999,creg1a,-2,-852.6716901100043,,988.8,-2,16,14,-5,12,1,-13,
2472,1033,1,0.3599999999999999,creg1a,-2,-852.6716901100043,,989.2,-2,16,14,-5,12,1,-13,
2473,1034,1,0.3599999999999999,creg1a,-2,-852.6716901100043,,989.6,-2,16,14,-5,12,1,-13,
2474,1035,1,0.3599999999999999,creg3a,-12,-875.5715607340752,,990.0,-2,16,-12,-5,12,1,-13,
2475,1036,1,0.3599999999999999,creg1a,2,-855.1936786558202,,990.4,2,16,-12,-5,12,1,-13,
2476,1037,1,0.3599999999999999,creg4b,-9,-857.5105950837549,,990.8,2,16,-12,-5,12,-9,-13,
2477,1038,1,0.3599999999999999,creg3a,-7,-815.0352157501378,,991.2,2,16,-7,-5,12,-9,-13,
2478,1039,1,0.3599999999999999,creg1a,2,-812.5352157501378,,991.6,2,16,-7,-5,12,-9,-13,
2479,1040,1,0.3599999999999999,creg1a,2,-812.5352157501378,,992.0,2,16,-7,-5,12,-9,-13,
2480,1041,1,0.3599999999999999,creg1a,2,-812.5352157501378,,992.4,2,16,-7,-5,12,-9,-13,
2481,1042,1,0.3599999999999999,creg1a,2,-812.5352157501378,,992.8,2,16,-7,-5,12,-9,-13,
2482,1043,1,0.3599999999999999,creg1a,2,-812.5352157501378,,993.2,2,16,-7,-5,12,-9,-13,
2483,1044,1,0.3599999999999999,creg3c,8,-869.035499930208,,993.6,2,16,-7,8,12,-9,-13,
2484,1045,1,0.3599999999999999,creg1a,2,-862.535499930208,,994.0,2,16,-7,8,12,-9,-13,
2485,1046,1,0.3599999999999999,creg4c,-15,-863.3957585120313,,994.4,2,16,-7,8,12,-9,-15,
2486,1047,1,0.3599999999999999,creg4a,16,-865.0124826850886,,994.8,2,16,-7,8,16,-9,-15,
2487,1048,1,0.3599999999999999,creg1a,12,-2069.8634453501236,,995.2,12,16,-7,8,16,-9,-15,
2488,1049,1,0.3599999999999999,creg4c,-8,-2068.590096103942,,995.6,12,16,-7,8,16,-9,-8,
2489,1050,1,0.3599999999999999,creg4c,-8,-2065.090096103942,,996.0,12,16,-7,8,16,-9,-8,
2490,1051,1,0.3599999999999999,creg4b,5,-2383.42493110333,,996.4,12,16,-7,8,16,5,-8,
2491,1052,1,0.3599999999999999,creg4c,-8,-2376.42493110333,,996.8,12,16,-7,8,16,5,-8,
2492,1053,1,0.3599999999999999,creg4c,-8,-2376.42493110333,,997.2,12,16,-7,8,16,5,-8,
2493,1054,1,0.3599999999999999,creg4c,-8,-2376.42493110333,,997.6,12,16,-7,8,16,5,-8,
2494,1055,1,0.3599999999999999,creg4b,-14,-2074.2564711610576,,998.0,12,16,-7,8,16,-14,-8,
2495,1056,1,0.3599999999999999,creg4c,16,-2439.112614308589,,998.4,12,16,-7,8,16,-14,16,
2496,1057,1,0.3599999999999999,creg4c,-8,-2076.7564711610576,,998.8,12,16,-7,8,16,-14,-8,
2497,1058,1,0.3599999999999999,creg4a,9,-2067.056410290617,,999.2,12,16,-7,8,9,-14,-8,
2498,1059,1,0.3599999999999999,creg4c,-8,-2063.556410290617,,999.6,12,16,-7,8,9,-14,-8,
2499,1060,1,0.3599999999999999,creg4c,-8,-2063.556410290617,,1000.0,12,16,-7,8,9,-14,-8,
2500,1061,1,0.3599999999999999,creg4a,-13,-1682.299616060194,,1000.4,12,16,-7,8,-13,-14,-8,
2501,1062,1,0.3599999999999999,creg4c,-8,-1671.299616060194,,1000.8,12,16,-7,8,-13,-14,-8,
2502,1063,1,0.3599999999999999,creg4b,-9,-1674.1256884442398,,1001.2,12,16,-7,8,-13,-9,-8,
2503,1064,1,0.3599999999999999,creg2a,-15,-1646.970235574735,,1001.6,12,-15,-7,8,-13,-9,-8,
2504,1065,1,0.3599999999999999,creg4c,-8,-1631.470235574735,,1002.0,12,-15,-7,8,-13,-9,-8,
2505,1066,1,0.3599999999999999,creg1a,-3,-1167.3776719491411,,1002.4,-3,-15,-7,8,-13,-9,-8,
2506,1067,1,0.3599999999999999,creg4c,-8,-1159.8776719491411,,1002.8,-3,-15,-7,8,-13,-9,-8,
2507,1068,1,0.3599999999999999,creg4b,-11,-1160.7096286241378,,1003.2,-3,-15,-7,8,-13,-11,-8,
2508,1069,1,0.3599999999999999,creg1a,-16,-2773.317112195984,,1003.6,-16,-15,-7,8,-13,-11,-8,
2509,1070,1,0.3599999999999999,creg4a,-13,-2766.817112195984,,1004.0,-16,-15,-7,8,-13,-11,-8,
2510,1071,1,0.3599999999999999,creg4a,11,-2441.498581149502,,1004.4,-16,-15,-7,8,11,-11,-8,
2511,1072,1,0.3599999999999999,creg4c,-8,-2429.498581149502,,1004.8,-16,-15,-7,8,11,-11,-8,
2512,1073,1,0.3599999999999999,creg2a,-12,-2431.0109713571187,,1005.2,-16,-12,-7,8,11,-11,-8,
2513,1074,1,0.3599999999999999,creg4c,-8,-2429.5109713571187,,1005.6,-16,-12,-7,8,11,-11,-8,
2514,1075,1,0.3599999999999999,creg4b,-13,-2430.380846104667,,1006.0,-16,-12,-7,8,11,-13,-8,
2515,1076,1,0.3599999999999999,creg4c,-8,-2429.380846104667,,1006.4,-16,-12,-7,8,11,-13,-8,
2516,1077,1,0.3599999999999999,creg4c,-8,-2429.380846104667,,1006.8,-16,-12,-7,8,11,-13,-8,
2517,1078,1,0.3599999999999999,creg4c,-8,-2429.380846104667,,1007.2,-16,-12,-7,8,11,-13,-8,
2518,1079,1,0.3599999999999999,creg4a,8,-2770.5175096369776,,1007.6,-16,-12,-7,8,8,-13,-8,
2519,1080,1,0.3599999999999999,creg4c,-8,-2769.0175096369776,,1008.0,-16,-12,-7,8,8,-13,-8,
2520,1081,1,0.3599999999999999,creg4c,-8,-2769.0175096369776,,1008.4,-16,-12,-7,8,8,-13,-8,
2521,1082,1,0.3599999999999999,creg4c,-8,-2769.0175096369776,,1008.8,-16,-12,-7,8,8,-13,-8,
2522,1083,1,0.3599999999999999,creg4c,-8,-2769.0175096369776,,1009.2,-16,-12,-7,8,8,-13,-8,
2523,1084,1,0.3599999999999999,creg4c,-8,-2769.0175096369776,,1009.6,-16,-12,-7,8,8,-13,-8,
2524,1085,1,0.3599999999999999,creg4c,-8,-2769.0175096369776,,1010.0,-16,-12,-7,8,8,-13,-8,
2525,1086,1,0.3599999999999999,creg4c,-8,-2769.0175096369776,,1010.4,-16,-12,-7,8,8,-13,-8,
2526,1087,1,0.3599999999999999,creg2a,6,-2778.095539504759,,1010.8,-16,6,-7,8,8,-13,-8,
2527,1088,1,0.3599999999999999,creg4c,-8,-2769.095539504759,,1011.2,-16,6,-7,8,8,-13,-8,
2528,1089,1,0.3599999999999999,creg4c,15,-2422.26504713006,,1011.6,-16,6,-7,8,8,-13,15,
2529,1090,1,0.3599999999999999,creg1a,-16,-2410.76504713006,,1012.0,-16,6,-7,8,8,-13,15,
2530,1091,1,0.3599999999999999,creg4c,-8,-2780.595539504759,,1012.4,-16,6,-7,8,8,-13,-8,
2531,1092,1,0.3599999999999999,creg4c,-8,-2769.095539504759,,1012.8,-16,6,-7,8,8,-13,-8,
2532,1093,1,0.3599999999999999,creg4c,-8,-2769.095539504759,,1013.2,-16,6,-7,8,8,-13,-8,
2533,1094,1,0.3599999999999999,creg4c,-10,-2769.9708183836497,,1013.6,-16,6,-7,8,8,-13,-10,
2534,1095,1,0.3599999999999999,creg4b,-7,-2772.377218743906,,1014.0,-16,6,-7,8,8,-7,-10,
2535,1096,1,0.3599999999999999,creg4c,-8,-2770.498965622509,,1014.4,-16,6,-7,8,8,-7,-8,
2536,1097,1,0.3599999999999999,creg4c,-8,-2769.498965622509,,1014.8,-16,6,-7,8,8,-7,-8,
2537,1098,1,0.3599999999999999,creg4c,-8,-2769.498965622509,,1015.2,-16,6,-7,8,8,-7,-8,
2538,1099,1,0.3599999999999999,creg4c,-8,-2769.498965622509,,1015.6,-16,6,-7,8,8,-7,-8,
2539,1100,1,0.3599999999999999,creg4c,-8,-2769.498965622509,,1016.0,-16,6,-7,8,8,-7,-8,
2540,1101,1,0.3599999999999999,creg4c,-8,-2769.498965622509,,1016.4,-16,6,-7,8,8,-7,-8,
2541,1102,1,0.3599999999999999,creg4c,-8,-2769.498965622509,,1016.8,-16,6,-7,8,8,-7,-8,
2542,1103,1,0.3599999999999999,creg4c,-8,-2769.498965622509,,1017.2,-16,6,-7,8,8,-7,-8,
2543,1104,1,0.3599999999999999,creg4c,-8,-2769.498965622509,,1017.6,-16,6,-7,8,8,-7,-8,
2544,1105,1,0.3599999999999999,creg4a,-13,-2777.6883030310223,,1018.0,-16,6,-7,8,-13,-7,-8,
2545,1106,1,0.3599999999999999,creg4c,-8,-2767.1883030310223,,1018.4,-16,6,-7,8,-13,-7,-8,
2546,1107,1,0.3599999999999999,creg3a,16,-2738.788182218574,,1018.8,-16,6,16,8,-13,-7,-8,
2547,1108,1,0.3599999999999999,creg4c,-8,-2727.288182218574,,1019.2,-16,6,16,8,-13,-7,-8,
2548,1109,1,0.3599999999999999,creg4c,-8,-2727.288182218574,,1019.6,-16,6,16,8,-13,-7,-8,
2549,1110,1,0.3599999999999999,creg4b,-9,-2728.140755732291,,1020.0,-16,6,16,8,-13,-9,-8,
2550,1111,1,0.3599999999999999,creg2a,-16,-2738.0524243931127,,1020.4,-16,-16,16,8,-13,-9,-8,
2551,1112,1,0.3599999999999999,creg4c,-8,-2727.0524243931127,,1020.8,-16,-16,16,8,-13,-9,-8,
2552,1113,1,0.3599999999999999,creg1a,-3,-1166.4520406140057,,1021.2,-3,-16,16,8,-13,-9,-8,
2553,1114,1,0.3599999999999999,creg1a,-3,-1159.9520406140057,,1021.6,-3,-16,16,8,-13,-9,-8,
2554,1115,1,0.3599999999999999,creg1a,-3,-1159.9520406140057,,1022.0,-3,-16,16,8,-13,-9,-8,
2555,1116,1,0.3599999999999999,creg1a,-3,-1159.9520406140057,,1022.4,-3,-16,16,8,-13,-9,-8,
2556,1117,1,0.3599999999999999,creg4c,-7,-1160.0344963125133,,1022.8,-3,-16,16,8,-13,-9,-7,
2557,1118,1,0.3599999999999999,creg4c,-10,-1161.292624793831,,1023.2,-3,-16,16,8,-13,-9,-10,
2558,1119,1,0.3599999999999999,creg1a,4,-544.2365543674226,,1023.6,4,-16,16,8,-13,-9,-10,
2559,1120,1,0.3599999999999999,creg1a,4,-540.7365543674226,,1024.0,4,-16,16,8,-13,-9,-10,
2560,1121,1,0.3599999999999999,creg1a,4,-540.7365543674226,,1024.4,4,-16,16,8,-13,-9,-10,
2561,1122,1,0.3599999999999999,creg1a,4,-540.7365543674226,,1024.8,4,-16,16,8,-13,-9,-10,
2562,1123,1,0.3599999999999999,creg2a,-1,-508.30180445485723,,1025.2,4,-1,16,8,-13,-9,-10,
2563,1124,1,0.3599999999999999,creg1a,4,-500.80180445485723,,1025.6,4,-1,16,8,-13,-9,-10,
2564,1125,1,0.3599999999999999,creg3c,-3,-456.2940139868295,,1026.0,4,-1,16,-3,-13,-9,-10,
2565,1126,1,0.3599999999999999,creg4c,16,-825.9564799654095,,1026.4,4,-1,16,-3,-13,-9,16,
2566,1127,1,0.3599999999999999,creg3c,3,-815.9558380500474,,1026.8,4,-1,16,3,-13,-9,16,
2567,1128,1,0.3599999999999999,creg3a,-1,-781.3839091023498,,1027.2,4,-1,-1,3,-13,-9,16,
2568,1129,1,0.3599999999999999,creg1a,4,-772.8839091023498,,1027.6,4,-1,-1,3,-13,-9,16,
2569,1130,1,0.3599999999999999,creg4b,-4,-775.6484320896247,,1028.0,4,-1,-1,3,-13,-4,16,
2570,1131,1,0.3599999999999999,creg1a,4,-773.1484320896247,,1028.4,4,-1,-1,3,-13,-4,16,
2571,1132,1,0.3599999999999999,creg1a,-11,-2417.9971688054575,,1028.8,-11,-1,-1,3,-13,-4,16,
2572,1133,1,0.3599999999999999,creg1a,4,-780.6484320896247,,1029.2,4,-1,-1,3,-13,-4,16,
2573,1134,1,0.3599999999999999,creg1a,4,-773.1484320896247,,1029.6,4,-1,-1,3,-13,-4,16,
2574,1135,1,0.3599999999999999,creg4c,-7,-422.682029349076,,1030.0,4,-1,-1,3,-13,-4,-7,
2575,1136,1,0.3599999999999999,creg4c,-4,-412.8324548290582,,1030.4,4,-1,-1,3,-13,-4,-4,
2576,1137,1,0.3599999999999999,creg1a,4,-411.3324548290582,,1030.8,4,-1,-1,3,-13,-4,-4,
2577,1138,1,0.3599999999999999,creg1a,4,-411.3324548290582,,1031.2,4,-1,-1,3,-13,-4,-4,
2578,1139,1,0.3599999999999999,creg1a,4,-411.3324548290582,,1031.6,4,-1,-1,3,-13,-4,-4,
2579,1140,1,0.3599999999999999,creg1a,4,-411.3324548290582,,1032.0,4,-1,-1,3,-13,-4,-4,
2580,1141,1,0.3599999999999999,creg1a,4,-411.3324548290582,,1032.4,4,-1,-1,3,-13,-4,-4,
2581,1142,1,0.3599999999999999,creg1a,4,-411.3324548290582,,1032.8,4,-1,-1,3,-13,-4,-4,
2582,1143,1,0.3599999999999999,creg4b,-16,-726.5051377506672,,1033.2,4,-1,-1,3,-13,-16,-4,
2583,1144,1,0.3599999999999999,creg1a,4,-720.5051377506672,,1033.6,4,-1,-1,3,-13,-16,-4,
2584,1145,1,0.3599999999999999,creg1a,4,-720.5051377506672,,1034.0,4,-1,-1,3,-13,-16,-4,
2585,1146,1,0.3599999999999999,creg1a,4,-720.5051377506672,,1034.4,4,-1,-1,3,-13,-16,-4,
2586,1147,1,0.3599999999999999,creg3c,10,-774.0203610878455,,1034.8,4,-1,-1,10,-13,-16,-4,
2587,1148,1,0.3599999999999999,creg1a,4,-770.5203610878455,,1035.2,4,-1,-1,10,-13,-16,-4,
2588,1149,1,0.3599999999999999,creg1a,4,-770.5203610878455,,1035.6,4,-1,-1,10,-13,-16,-4,
2589,1150,1,0.3599999999999999,creg4b,15,-788.8249468864445,,1036.0,4,-1,-1,10,-13,15,-4,
2590,1151,1,0.3599999999999999,creg1a,-5,-1126.4830989369666,,1036.4,-5,-1,-1,10,-13,15,-4,
2591,1152,1,0.3599999999999999,creg3c,16,-1174.9859341214813,,1036.8,-5,-1,-1,16,-13,15,-4,
2592,1153,1,0.3599999999999999,creg1a,4,-777.8425667232359,,1037.2,4,-1,-1,16,-13,15,-4,
2593,1154,1,0.3599999999999999,creg1a,4,-773.3425667232359,,1037.6,4,-1,-1,16,-13,15,-4,
2594,1155,1,0.3599999999999999,creg4c,-1,-775.002084879489,,1038.0,4,-1,-1,16,-13,15,-1,
2595,1156,1,0.3599999999999999,creg1a,9,-1486.7757875179796,,1038.4,9,-1,-1,16,-13,15,-1,
2596,1157,1,0.3599999999999999,creg1a,4,-776.0020848790681,,1038.8,4,-1,-1,16,-13,15,-1,
2597,1158,1,0.3599999999999999,creg1a,4,-773.5020848790681,,1039.2,4,-1,-1,16,-13,15,-1,
2598,1159,1,0.3599999999999999,creg1a,4,-773.5020848790681,,1039.6,4,-1,-1,16,-13,15,-1,
2599,1160,1,0.3599999999999999,creg4b,16,-773.6380950642222,,1040.0,4,-1,-1,16,-13,16,-1,
2600,1161,1,0.3599999999999999,creg1a,-2,-775.7106576060951,,1040.4,-2,-1,-1,16,-13,16,-1,
2601,1162,1,0.3599999999999999,creg4c,6,-776.6027639352055,,1040.8,-2,-1,-1,16,-13,16,6,
2602,1163,1,0.3599999999999999,creg1a,-2,-773.1027639352055,,1041.2,-2,-1,-1,16,-13,16,6,
2603,1164,1,0.3599999999999999,creg1a,-2,-773.1027639352055,,1041.6,-2,-1,-1,16,-13,16,6,
2604,1165,1,0.3599999999999999,creg3a,12,-779.6388765387388,,1042.0,-2,-1,12,16,-13,16,6,
2605,1166,1,0.3599999999999999,creg1a,13,-2393.4861240534433,,1042.4,13,-1,12,16,-13,16,6,
2606,1167,1,0.3599999999999999,creg1a,-2,-780.6388765387388,,1042.8,-2,-1,12,16,-13,16,6,
2607,1168,1,0.3599999999999999,creg1a,-2,-773.1388765387388,,1043.2,-2,-1,12,16,-13,16,6,
2608,1169,1,0.3599999999999999,creg1a,-2,-773.1388765387388,,1043.6,-2,-1,12,16,-13,16,6,
2609,1170,1,0.3599999999999999,creg1a,-2,-773.1388765387388,,1044.0,-2,-1,12,16,-13,16,6,
2610,1171,1,0.3599999999999999,creg1a,-2,-773.1388765387388,,1044.4,-2,-1,12,16,-13,16,6,
2611,1172,1,0.3599999999999999,creg1a,15,-2394.97027425325,,1044.8,15,-1,12,16,-13,16,6,
2612,1173,1,0.3599999999999999,creg1a,-2,-781.6388765387388,,1045.2,-2,-1,12,16,-13,16,6,
2613,1174,1,0.3599999999999999,creg4c,-12,-1141.115508955494,,1045.6,-2,-1,12,16,-13,16,-12,
2614,1175,1,0.3599999999999999,creg1a,-2,-1132.115508955494,,1046.0,-2,-1,12,16,-13,16,-12,
2615,1176,1,0.3599999999999999,creg1a,-2,-1132.115508955494,,1046.4,-2,-1,12,16,-13,16,-12,
2616,1177,1,0.3599999999999999,creg1a,-2,-1132.115508955494,,1046.8,-2,-1,12,16,-13,16,-12,
2617,1178,1,0.3599999999999999,creg1a,-2,-1132.115508955494,,1047.2,-2,-1,12,16,-13,16,-12,
2618,1179,1,0.3599999999999999,creg1a,-2,-1132.115508955494,,1047.6,-2,-1,12,16,-13,16,-12,
2619,1180,1,0.3599999999999999,creg1a,3,-1175.4914110401762,,1048.0,3,-1,12,16,-13,16,-12,
2620,1181,1,0.3599999999999999,creg1a,-2,-1134.615508955822,,1048.4,-2,-1,12,16,-13,16,-12,
2621,1182,1,0.3599999999999999,creg1a,-2,-1132.115508955822,,1048.8,-2,-1,12,16,-13,16,-12,
2622,1183,1,0.3599999999999999,creg4b,-5,-830.6692956164482,,1049.2,-2,-1,12,16,-13,-5,-12,
2623,1184,1,0.3599999999999999,creg1a,-2,-820.1692956164482,,1049.6,-2,-1,12,16,-13,-5,-12,
2624,1185,1,0.3599999999999999,creg2a,5,-823.1943067530138,,1050.0,-2,5,12,16,-13,-5,-12,
2625,1186,1,0.3599999999999999,creg2a,5,-820.1943067530138,,1050.4,-2,5,12,16,-13,-5,-12,
2626,1187,1,0.3599999999999999,creg2a,-9,-867.1336003552649,,1050.8,-2,-9,12,16,-13,-5,-12,
2627,1188,1,0.3599999999999999,creg3a,-11,-911.5523536125979,,1051.2,-2,-9,-11,16,-13,-5,-12,
2628,1189,1,0.3599999999999999,creg3a,-1,-865.0987822041094,,1051.6,-2,-9,-1,16,-13,-5,-12,
2629,1190,1,0.3599999999999999,creg2a,-13,-862.0800967499785,,1052.0,-2,-13,-1,16,-13,-5,-12,
2630,1191,1,0.3599999999999999,creg4b,3,-864.6665483388199,,1052.4,-2,-13,-1,16,-13,3,-12,
2631,1192,1,0.3599999999999999,creg1a,-4,-861.4055812483579,,1052.8,-4,-13,-1,16,-13,3,-12,
2632,1193,1,0.3599999999999999,creg2a,5,-829.4877305102156,,1053.2,-4,5,-1,16,-13,3,-12,
2633,1194,1,0.3599999999999999,creg2a,5,-820.4877305102156,,1053.6,-4,5,-1,16,-13,3,-12,
2634,1195,1,0.3599999999999999,creg3a,-14,-866.9182663035491,,1054.0,-4,5,-14,16,-13,3,-12,
2635,1196,1,0.3599999999999999,creg2a,5,-860.4182663035491,,1054.4,-4,5,-14,16,-13,3,-12,
2636,1197,1,0.3599999999999999,creg2a,5,-860.4182663035491,,1054.8,-4,5,-14,16,-13,3,-12,
2637,1198,1,0.3599999999999999,creg2a,-7,-906.3651046280122,,1055.2,-4,-7,-14,16,-13,3,-12,
2638,1199,1,0.3599999999999999,creg4c,4,-549.3998273556892,,1055.6,-4,-7,-14,16,-13,3,4,
2639,1200,1,0.3599999999999999,creg2a,5,-507.4509909531934,,1056.0,-4,5,-14,16,-13,3,4,
2640,1201,1,0.3599999999999999,creg2a,5,-501.4509909531934,,1056.4,-4,5,-14,16,-13,3,4,
2641,1202,1,0.3599999999999999,creg1a,15,-2353.8591629584016,,1056.8,15,5,-14,16,-13,3,4,
2642,1203,1,0.3599999999999999,creg2a,5,-2344.3591629584016,,1057.2,15,5,-14,16,-13,3,4,
2643,1204,1,0.3599999999999999,creg4b,3,-2344.3591629584016,,1057.6,15,5,-14,16,-13,3,4,
2644,1205,1,0.3599999999999999,creg3a,7,-2394.9518488111817,,1058.0,15,5,7,16,-13,3,4,
2645,1206,1,0.3599999999999999,creg3a,15,-2388.501756831958,,1058.4,15,5,15,16,-13,3,4,
2646,1207,1,0.3599999999999999,creg2a,5,-2384.501756831958,,1058.8,15,5,15,16,-13,3,4,
2647,1208,1,0.3599999999999999,creg2a,5,-2384.501756831958,,1059.2,15,5,15,16,-13,3,4,
2648,1209,1,0.3599999999999999,creg2a,-13,-2353.4117900719248,,1059.6,15,-13,15,16,-13,3,4,
2649,1210,1,0.3599999999999999,creg1a,-7,-1152.1129039942612,,1060.0,-7,-13,15,16,-13,3,4,
2650,1211,1,0.3599999999999999,creg2a,5,-1110.1910726324256,,1060.4,-7,5,15,16,-13,3,4,
2651,1212,1,0.3599999999999999,creg3a,16,-1101.1936640139033,,1060.8,-7,5,16,16,-13,3,4,
2652,1213,1,0.3599999999999999,creg2a,5,-1101.1936640139033,,1061.2,-7,5,16,16,-13,3,4,
2653,1214,1,0.3599999999999999,creg2a,5,-1101.1936640139033,,1061.6,-7,5,16,16,-13,3,4,
2654,1215,1,0.3599999999999999,creg2a,5,-1101.1936640139033,,1062.0,-7,5,16,16,-13,3,4,
2655,1216,1,0.3599999999999999,creg2a,-15,-1151.1070002909541,,1062.4,-7,-15,16,16,-13,3,4,
2656,1217,1,0.3599999999999999,creg2a,15,-1116.2343917132157,,1062.8,-7,15,16,16,-13,3,4,
2657,1218,1,0.3599999999999999,creg1a,9,-1731.334384775627,,1063.2,9,15,16,16,-13,3,4,
2658,1219,1,0.3599999999999999,creg4b,-1,-1714.8933348831881,,1063.6,9,15,16,16,-13,-1,4,
2659,1220,1,0.3599999999999999,creg4b,-1,-1712.8933348831881,,1064.0,9,15,16,16,-13,-1,4,
2660,1221,1,0.3599999999999999,creg4b,-1,-1712.8933348831881,,1064.4,9,15,16,16,-13,-1,4,
2661,1222,1,0.3599999999999999,creg4c,-15,-1301.2565286710262,,1064.8,9,15,16,16,-13,-1,-15,
2662,1223,1,0.3599999999999999,creg4b,-1,-1291.7565286710262,,1065.2,9,15,16,16,-13,-1,-15,
2663,1224,1,0.3599999999999999,creg4b,-1,-1291.7565286710262,,1065.6,9,15,16,16,-13,-1,-15,
2664,1225,1,0.3599999999999999,creg3a,11,-1294.2246750921477,,1066.0,9,15,11,16,-13,-1,-15,
2665,1226,1,0.3599999999999999,creg4b,-1,-1291.7246750921477,,1066.4,9,15,11,16,-13,-1,-15,
2666,1227,1,0.3599999999999999,creg3c,12,-1303.711673878738,,1066.8,9,15,11,12,-13,-1,-15,
2667,1228,1,0.3599999999999999,creg2a,-6,-1272.0965705933552,,1067.2,9,-6,11,12,-13,-1,-15,
